Identifiant arrêté,rnb_ids,match_reason
2023-58--ligne210,"8PS6KQ6FAQVY,A27CFSXMEYZX,N1F76C9YFW7S",precise_address_match
2023-59--ligne211,"138N3H73V77S,2SPMGCXT2CJ3,2ZP751DBQZBR,31ZFNWVFHWQH,687Y72VHDFJ1,6T8NVQ3PENCR,7ACE13SHR3RD,7MA9GPZH9H5M,8KGAPBGCPRC5,8YFGXAZEPW7W,9F14RF77KKHR,9WQNJA6DG1W2,9Y6J53VBEWF5,AKVHHJW1FQH8,AN8FR5JFFEMB,EAQQT95JS6CD,G3RPEF17CB8W,K5B2DZ6KDCPS,KCDPR9135BQ4,MJKA82SPRAXS,N4MS9H3RTY76,NYE2J49H86EH,P5EWYRRR8FCQ,PEXEZXBTJAXS,PKT5G6Z29KHT,PZAYJ3CPA9YZ,QXBZR2NSF8PC,T57EPPYVGS97,T97DR1T86HH3,XFG4AXFQKTWE,Y3MXZMK2RSXJ,ZHRYGK2AQ9N2,ZR4DMS7DHVFX",precise_address_match
2023-60--ligne212,"BXJKTF3N8SPT,XY8MCP5AW67Q",precise_address_match
2023-61--ligne213,"756Y6W68VJ8Q,CGVB7EVCK8GG,D5M2SF895KQR,HV5PHEPXMHNJ,N5KPGMVWS3E1,PSVF79CBF2SP,SYHTYQ1WDTRK",precise_address_match
2023-62--ligne214,,
2023-63--ligne215,"KXKPA7TZKJZE,WRTMRRTGXTND",precise_address_match
2023-64--ligne216,F3YWTB18TN3E,precise_address_match
2023-65--ligne217,"G6NT6QBWHEWQ,T1YV2BQ3EFFP",precise_address_match
2023-66--ligne218,H9ZP922VSCZA,precise_address_match
2023-67--ligne219,Y954XXH3TNEB,precise_address_match
2023-68--ligne220,"1MZRT8PE6T2E,6629M9MP8853,BJMFFN9YT6KN,T5H9QWGAHM7H",precise_address_match
2023-69--ligne221,S2HDZT2Q9HHB,precise_address_match
2023-70--ligne222,"22JC77T2JFS8,BDNZ9QCACF8K,C6VD3NRQ4FPF,DH9P1J75Y6PZ,GY4ZBP4GFPTR,HXE9YKS377GA,PZNK2TRFCAVY,W9CMGAVHXMAP,X7BJ7MGVVZM6,Y8RKJRX4RQ34,ZAQ6G1BZACNH",precise_address_match
2023-71--ligne223,,
2023-72--ligne224,222GKCAJ9GKT,precise_address_match
2023-73--ligne225,8835STW2T6X7,precise_address_match
2023-74--ligne226,"FGHSF5PTF4ZY,TCSN8X19NNSA",precise_address_match
2023-75--ligne227,Y3WJP6HSCDG5,precise_address_match
2023-76--ligne228,"BHRHGJJCRCBA,E7MQVKT3M9TB,EPPW56BRC6H7",precise_address_match
2023-77--ligne229,WX4JZ3MCYEXX,precise_address_match
2023-78--ligne230,,
2023-79--ligne231,"KJ8M9K14YW3P,V532Z6VTQX98",precise_address_match
2023-80--ligne232,RF7PK2XBCK3K,precise_address_match
2023-81--ligne233,"NF52JFRBYKVM,XHZNJ1A58SH4",precise_address_match
2023-82--ligne234,"NF52JFRBYKVM,XHZNJ1A58SH4",precise_address_match
2023-82--ligne235,"NF52JFRBYKVM,XHZNJ1A58SH4",precise_address_match
2023-82--ligne236,"NF52JFRBYKVM,XHZNJ1A58SH4",precise_address_match
2023-83--ligne237,,
2023-84--ligne238,"CBC8HV43NMAH,DKW6D9NM7ZQH,ND9M22S17EA9,Q87FBMXQE42E",precise_address_match
2023-85--ligne239,F3YWTB18TN3E,precise_address_match
