ext_id,rnb_ids,match_reason
291,['EHRP495NB46N'],point_on_bdg
292,['X9HJX3D59KJX'],point_on_bdg
293,['5DPQ2RV5TXAA'],point_on_bdg
294,[],
295,['WGFR7HVVZWT8'],point_on_bdg
296,['4C2Q5CCZFAHE'],point_on_bdg
298,['JVD6X2ZR9T2Y'],point_on_bdg
305,['XKK7QGY4QGQ1'],point_on_bdg
306,['YYJP8RSV9XS8'],point_on_bdg
307,[],
308,[],
309,['JXW1V5Y3HWCQ'],point_on_bdg
310,[],
312,['4GW8FSJARTY1'],point_on_bdg
311,['T9NHNNZJGVJW'],point_on_bdg
