ID_BATI;LIBELLE_BATI;NUMERO_ADRESSE;ADRESSE;COMPLEMENT_ADRESSE;CODE_POSTAL;COMMUNE;CODE_INSEE;COORD_X_L93;COORD_Y_L93
254;SAINT-PALAIS - Collège Amikuze (Esquilamborde); ;Lotissement St Jaymes;Saldixuri;64120;SAINT-PALAIS;64493;373333.22;6255895.48
255;SAINT-PALAIS - Gendarmerie (Gibraltar);1;route de Gibraltar; ;64120;SAINT-PALAIS;64493;372590.92;6255359.6
256;SAINT-PALAIS - SDSEI (Sainte-Madeleine); ;Boulevard Sainte Madeleine; ;64120;SAINT-PALAIS;64493;372619.51;6255875.92
257;SAINT-PALAIS - UTD (Gibraltar);290;route de Gibraltar; ;64120;SAINT-PALAIS;64493;372570.18;6255295.06
258;SAINT-PEE-SUR-NIVELLE - Permanence SDSEI (Poste); ;Rue Ibarbidea;Plateforme Multiservice. RD 918;64310;SAINT-PÉE-SUR-NIVELLE;64495;330995.38;6261488.93
259;SAINT-PIERRE-D'IRUBE - Collège Aturri (Pyrénées);394;avenue des Pyrénées; ;64990;SAINT-PIERRE-D'IRUBE;64496;340530.84;6273853.31
260;SAINT-PIERRE-D'IRUBE - Permanence SDSEI (Labourd);15;avenue du Labourd; ;64990;SAINT-PIERRE-D'IRUBE;64496;339306.59;6274678.18
261;SALIES-DE-BEARN - Antenne SDSEI (Bellecave); ;Chemin de Bellecave; ;64270;SALIES-DE-BÉARN;64499;382127.23;6270764.95
262;SALIES-DE-BEARN - Antenne UTD (Lasbordes); ;Route de Sauveterre; ;64270;SALIES-DE-BÉARN;64499;382594.22;6270187.08
263;SALIES-DE-BEARN - Collège Félix Pécaut (Dufourcq); ;Avenue du Docteur Dufourcq; ;64270;SALIES-DE-BÉARN;64499;381653.45;6271824.07
265;SARE - Antenne UTD (Portua);1010;Portuko errebidea;Quartier Portua RD4;64310;SARE;64504;329011.17;6256470.46
266;SARE - Gare arrivée (La Rhune); ;La Rhune; ;64310;SARE;64504;323942.46;6256605.94
267;SARE - Gare départ (Saint-Ignace); ;Route de Saint Inazio;Col de Saint-Ignace;64310;SARE;64504;326833.81;6258193.35
269;SAUVAGNON - Permanence SDSEI (Mairie); ;Rue du Béarn; ;64230;SAUVAGNON;64511;425562.61;6261884.74
270;SAUVETERRE-DE-BEARN - Antenne UTD (Gare); ;Avenue de la Gare; ;64390;SAUVETERRE-DE-BÉARN;64513;380466.19;6262701.36
271;SAUVETERRE-DE-BEARN - Collège de la Reine Sancie (Récapet); ;Avenue Jean Récapet; ;64390;SAUVETERRE-DE-BÉARN;64513;380723.14;6263757.44
272;SAUVETERRE-DE-BEARN - Permanence SDSEI (Mairie); ;Place Royale; ;64390;SAUVETERRE-DE-BÉARN;64513;380927.38;6263514.73
273;SERRES-CASTET - Collège René Forgues (Ecoles); ;Rue des Ecoles; ;64121;SERRES-CASTET;64519;426492.15;6258730.33
274;SERRES-CASTET - Permanence SDSEI (Finco);2;rue Aristide Finco; ;64121;SERRES-CASTET;64519;426361.88;6258901.19
275;SERRES-CASTET - Permanence SDSEI (Wagner);15;rue Richard Wagner; ;64121;SERRES-CASTET;64519;426266.79;6259578.51
276;SEVIGNACQ - Permanence SDSEI (Grabes); ;Chemin Grabes; ;64160;SÉVIGNACQ;64523;436018.03;6266475.3
278;SOUMOULOU - Permanence SDSEI (Mairie);1;place du Marché; ;64420;SOUMOULOU;64526;440954.22;6246017.34
279;TARDETS-SORHOLUS - Collège du Docteur Jauréguy (Fronton); ;Rue du Fronton; ;64470;TARDETS-SORHOLUS;64533;385694.79;6231739.53
281;TARDETS-SORHOLUS - Permanence SDSEI (Bidezaharre); ;Centre; ;64470;TARDETS-SORHOLUS;64533;385516.52;6231815.38
282;THEZE - Permanence SDSEI (Fanget); ;Place Maison Fanget; ;64450;THÈZE;64536;429103.32;6269881.84
283;URRUGNE - Antenne UTD (Boutran); ;Rue Pierre Bouvet de Thèze; ;64122;URRUGNE;64545;321680.41;6264069.12
284;URRUGNE - Permanence SDSEI (Mairie);1;rue Notre Dame de Sokorri;Mairie;64122;URRUGNE;64545;319005.99;6262822.32
285;URT - Dépôt (Chipienne);2990;route de Saudan; ;64240;URT;64546;355084.77;6277150.39
286;URT - Permanence SDSEI (Mairie);54;avenue des Pyrénées; ;64240;URT;64546;353079.81;6275413.55
287;USTARITZ - Antenne UTD (Planuya);115;route de Planuya; ;64480;USTARITZ;64547;336986.1;6268228.99
288;USTARITZ - SDSEI (Hiribéhère); ;Rue Hiribéhère; ;64480;USTARITZ;64547;338681.33;6266420.91
289;VIGNES - Antenne UTD (RD 944); ;Route de Pau; ;64410;VIGNES;64557;424774.88;6276447.8
290;VIODOS-ABENSE-DE-BAS - Maison d'habitation (Garde-barrière); ;Rue de la Vierge d'Abense;Abense de Bas;64130;VIODOS-ABENSE-DE-BAS;64559;385052.43;6247561.71
199;PAU - Antenne SDSEI (Berlioz);47;rue Berlioz; ;64000;PAU;64445;428583.59;6252062.43
299;GERONCE - Permanence SDSEI (Mairie); ; ; ;64400;GERONCE;64241;400248.8122;6244905.21
